brand,name,models,color,ram,storage,rom,screen,screen_size,sim,os,behind_camera,front_camera,url,error_url
Micromax,Canvas Fire 4G Q411,Q392,['Black'],['1GB'],['8GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm",Dual SIM,Android 5.1 (Lollipop),"['5 MP, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_fire_4g_q411-7661.php,-1
Micromax,Bolt S302,Q392,['Black'],['512MB'],['4GB'],128MB,Capacitive touchscreen,"4.0 inches, 45.5 cm",Dual SIM,Android 4.4.3 (KitKat),['2 MP'],['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_bolt_s302-7658.php,-1
Micromax,Bolt Q331,Q392,['Black'],['512MB'],['4GB'],128MB,IPS LCD capacitive touchscreen,"5.0 inches, 68.9 cm",Dual SIM,Android 4.4.2 (KitKat),['5 MP'],['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_bolt_q331-7657.php,-1
Micromax,Bolt Q338,Q392,['Black'],['1GB'],['8GB'],128MB,IPS LCD capacitive touchscreen,"5.0 inches, 68.9 cm",Dual SIM,Android 5.1 (Lollipop),"['8 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_bolt_q338-7660.php,-1
Micromax,Bolt Q339,Q392,['Black'],['512MB'],['4GB'],128MB,IPS LCD capacitive touchscreen,"4.5 inches, 55.8 cm",Dual SIM,Android 4.4.2 (KitKat),['5 MP'],['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_bolt_q339-7659.php,-1
Micromax,Bolt Q332,Q392,['Black'],['512MB'],['4GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Dual SIM,Android 5.1 (Lollipop),['5 MP'],['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_bolt_q332-7739.php,-1
Micromax,Canvas Play 4G Q469,Q392,['Black'],['2GB'],['16GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm",Dual SIM,Android 5.0.2 (Lollipop),"['13 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_play_4g_q469-7738.php,-1
Micromax,Canvas Amaze Q395,Q392,['Black'],['2GB'],['8GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 5.0 (Lollipop),"['13 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_amaze_q395-7737.php,-1
Micromax,Canvas Mega E353,Q392,['Black'],['1GB'],['8GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm",Dual SIM,Android 5.1 (Lollipop),"['13 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_mega_e353-7736.php,-1
Micromax,Canvas 5 E481,E481,['Black'],['3GB'],['16GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.9 cm","Dual SIM (Micro-SIM, dual stand-by)","Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow)","['13 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_5_e481-7735.php,-1
Micromax,Canvas Pace 4G Q416,E481,['Black'],['1GB'],['4GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Dual SIM,Android 5.1 (Lollipop),"['5 MP, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_pace_4g_q416-7781.php,-1
Micromax,Canvas Xpress 4G Q413,Q413,['Black'],['2GB'],['16GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Dual SIM (Micro-SIM),Android 5.1 (Lollipop),"['8 MP, f/2.0, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_xpress_4g_q413-7783.php,-1
Micromax,Canvas Nitro 3 E352,E352,['Black'],['2GB'],['16GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Dual SIM,Android 5.1 (Lollipop),"['13 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_nitro_3_e352-7784.php,-1
Micromax,Canvas Fire 4G Plus Q412,E352,['Black'],['1GB'],['8GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 5.1 (Lollipop),"['8 MP, f/2.0, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_fire_4g_plus_q412-7902.php,-1
Micromax,Canvas Mega 4G Q417,Q417,['Black'],['3GB'],['16GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)",Android 5.1 (Lollipop),"['13 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_mega_4g_q417-7901.php,-1
Micromax,Canvas Pulse 4G E451,Q417,['Black'],['3GB'],['16GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Dual SIM,Android 5.1 (Lollipop),"['13 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_pulse_4g_e451-7900.php,-1
Micromax,Canvas Juice 4 Q382,Q417,"['Black', ' White']",['1GB'],['8GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 5.1 (Lollipop),"['5 MP, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_juice_4_q382-7899.php,-1
Micromax,Canvas Amaze 4G Q491,Q417,['Black'],['1GB'],['8GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 5.1.1 (Lollipop),"['8 MP, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_amaze_4g_q491-7964.php,-1
Micromax,Canvas Juice 4G Q461,Q461,['Black'],['2GB'],['8GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 5.1 (Lollipop),"['8 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_juice_4g_q461-7965.php,-1
Micromax,Canvas 6,E485,['Gold'],['3GB'],['32GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",Android 5.1 (Lollipop),"['13 MP, f/2.0, PDAF']",['8 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_6-8033.php,-1
Micromax,Canvas 6 Pro E484,E484,['Black'],['4GB'],['16GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",Android 5.1 (Lollipop),"['13 MP, PDAF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_6_pro_e484-8032.php,-1
Micromax,Canvas Fire 5 Q386,Q386,"['Gold', ' grey', ' silver']",['1GB'],['16GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 6.0 (Marshmallow),"['8 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/micromax_canvas_fire_5_q386-8164.php,-1
